latitude,longitude,timestamp,magnitude
62.9393,-148.3064,7/27/2016 11:48,1.2
52.7361,-168.6086,7/27/2016 11:51,1.8
53.9955,-163.6187,7/27/2016 11:58,2
63.5851,-147.3953,7/27/2016 12:07,1.2
63.5873,-151.1715,7/27/2016 12:10,0.5
60.205,-140.9321,7/27/2016 12:12,1.6
38.8226667,-122.8446667,7/27/2016 12:15,1.56
65.0745,-149.7254,7/27/2016 12:16,1.2
33.7266667,-115.9446667,7/27/2016 12:17,2.17
63.5137,-151.2119,7/27/2016 12:33,1.7
33.5185,-116.5193333,7/27/2016 12:45,0.68
59.9464,-152.8283,7/27/2016 12:48,1.4
64.6442,-149.3513,7/27/2016 12:48,0.4
36.4063333,-120.2075,7/27/2016 12:54,2.25
46.433,-122.3106667,7/27/2016 13:00,1.33
63.6092,-147.5036,7/27/2016 13:11,0.7
35.8519,-97.2366,7/27/2016 13:12,2.7
33.9368333,-116.7363333,7/27/2016 13:22,2.03
66.3658,-150.1971,7/27/2016 13:23,1.4
33.7276667,-115.9425,7/27/2016 13:29,1.28
52.7041,-168.5775,7/27/2016 13:30,1.6
58.8044,-155.0242,7/27/2016 13:31,2.1
33.4063333,-116.3943333,7/27/2016 13:43,0.71
33.7288333,-115.9443333,7/27/2016 13:47,1.59
64.9836,-147.3588,7/27/2016 13:58,1
34.1613333,-116.8086667,7/27/2016 13:59,2.62
63.5895,-147.3766,7/27/2016 14:00,0.8
61.174,-150.8544,7/27/2016 14:05,1.6
48.2676667,-122.7643333,7/27/2016 14:07,1.62
52.6252,-166.8396,7/27/2016 14:07,2.2
39.4179,-119.9274,7/27/2016 14:09,0.6
63.3396,-153.2587,7/27/2016 14:18,0.7
52.8063,-166.7396,7/27/2016 14:35,2
58.4749,-154.4359,7/27/2016 14:39,1.3
60.5164,-147.773,7/27/2016 14:52,1.5
33.6343333,-116.6635,7/27/2016 14:54,0.4
34.3563333,-117.0238333,7/27/2016 14:57,1.59
55.1878,-159.5203,7/27/2016 15:00,1.8
46.0183333,-112.4775,7/27/2016 15:02,2.94
61.0793,-152.2331,7/27/2016 15:08,1.5
60.2799,-152.3027,7/27/2016 15:25,2.9
33.8495,-117.4875,7/27/2016 15:32,1.36
35.7406667,-121.438,7/27/2016 15:38,1.84
18.9866,-65.2505,7/27/2016 15:38,2.7
52.5918,-166.5903,7/27/2016 15:43,2.1
33.7351667,-115.9486667,7/27/2016 15:53,1.02
37.5753333,-118.8585,7/27/2016 16:17,0.75
61.6867,-151.3328,7/27/2016 16:30,1.4
35.0581667,-118.3453333,7/27/2016 16:36,0.9
63.2885,-149.3678,7/27/2016 16:37,1
58.2784,-151.2473,7/27/2016 16:47,1.8
67.3656,-149.9578,7/27/2016 16:49,0.9
61.3078,-152.4596,7/27/2016 16:50,2
61.3199,-152.5167,7/27/2016 16:51,1.6
61.3148,-152.5359,7/27/2016 16:51,1
61.2971,-152.4237,7/27/2016 16:53,1.4
52.7724,-168.6702,7/27/2016 17:06,1.8
63.5041,-147.4457,7/27/2016 17:09,1.3
46.2615,-122.2033333,7/27/2016 17:17,0.51
61.0448,-148.3254,7/27/2016 17:27,1.9
59.556,-153.5477,7/27/2016 17:39,2.5
64.8328,-149.0904,7/27/2016 17:41,0.9
45.9655,-122.629,7/27/2016 17:43,1.03
64.7836,-147.2442,7/27/2016 17:47,0.2
47.355,-119.2785,7/27/2016 17:59,1.49
46.606,-119.8398333,7/27/2016 18:01,0.99
33.6805,-116.8106667,7/27/2016 18:13,0.68
33.0428333,-114.9765,7/27/2016 18:15,1.15
46.2443333,-123.1063333,7/27/2016 18:17,1.36
61.8735,-148.1367,7/27/2016 18:18,1.7
35.5331667,-117.4345,7/27/2016 18:20,0.89
47.1195,-120.7686667,7/27/2016 18:20,1.46
-5.9001,145.8818,7/27/2016 18:38,4.2
53.0238,-167.2729,7/27/2016 18:41,1.6
62.947,-148.7739,7/27/2016 18:42,1
44.7286667,-111.2005,7/27/2016 18:45,1.24
58.4159,-154.7655,7/27/2016 19:01,1.7
63.5541,-147.3938,7/27/2016 19:06,0.9
61.1827,-152.2379,7/27/2016 19:06,1.1
48.0113333,-119.8786667,7/27/2016 19:11,1.87
49.425,-120.523,7/27/2016 19:16,1.94
40.2971667,-124.5011667,7/27/2016 19:22,2.5
39.4543,73.3421,7/27/2016 19:27,4.6
35.038,-117.6803333,7/27/2016 19:32,1.82
36.1005,-89.426,7/27/2016 19:32,1.88
63.8442,-148.788,7/27/2016 19:34,0.7
54.9465,-160.3859,7/27/2016 19:43,2.1
64.7299,-146.7726,7/27/2016 19:51,0.6
33.7748333,-117.4486667,7/27/2016 19:52,0.97
-15.4456,-173.1647,7/27/2016 19:56,4.8
36.0303333,-117.775,7/27/2016 19:59,0.34
55.4078,-158.4937,7/27/2016 20:00,2.3
38.8311653,-122.7736664,7/27/2016 20:02,0.93
37.2006667,-118.4,7/27/2016 20:03,1.88
33.449,-116.462,7/27/2016 20:05,1.64
56.8766,-156.9522,7/27/2016 20:07,2
51.3507,-174.284,7/27/2016 20:08,2.3
35.4215,-93.0776667,7/27/2016 20:19,2.76
31.1293333,-114.0478333,7/27/2016 20:26,3.08
36.0583333,-117.879,7/27/2016 20:26,0.65
